Computational geometry
TCS-0331 [index;problem_family;uncertain] Treewidth of 3-Manifolds
TCS-0375 [index;focused;uncertain] Equiprojective Polyhedra
TCS-0376 [index;focused;uncertain] Edge-Coloring Geometric Graphs
TCS-0377 [index;focused;uncertain] Smallest Universal Set of Points for Planar Graphs
TCS-0378 [index;focused;uncertain] Chromatic Number of the Plane
TCS-0379 [index;focused;uncertain] Polyhedron with Regular Pentagon Faces
TCS-0380 [index;focused;uncertain] Trapping Light Rays with Segment Mirrors
TCS-0381 [index;focused;uncertain] Flip Graph Connectivity in 3D
TCS-0382 [index;focused;uncertain] General Unfoldings of Nonconvex Polyhedra
TCS-0383 [index;focused;uncertain] Reflexivity of Point Sets
TCS-0384 [index;focused;uncertain] Edge-Unfolding Polycubes
TCS-0385 [index;focused;uncertain] Hamiltonian Tetrahedralizations
TCS-0386 [index;focused;uncertain] Vertex \pi -Floodlights
TCS-0387 [index;focused;uncertain] Dynamic Planar Nearest Neighbors
TCS-0388 [index;focused;uncertain] Sorting X+Y (Pairwise Sums)
TCS-0389 [index;focused;uncertain] 3D Minimum-Bend Orthogonal Graph Drawings
TCS-0390 [index;focused;uncertain] Lines Tangent to Four Unit Balls
TCS-0391 [index;focused;uncertain] Thrackles
TCS-0392 [index;focused;uncertain] Transforming Polygons via Vertex-Centroid Moves
TCS-0393 [index;focused;uncertain] Volume Maximizing Convex Shape
TCS-0394 [index;focused;uncertain] Monochromatic Triangles
TCS-0395 [index;focused;uncertain] Most Circular Partition of a Square
TCS-0396 [index;focused;uncertain] Pallet Loading
TCS-0397 [index;focused;uncertain] Traveling Salesman Problem in Solid Grid Graphs
TCS-0398 [index;focused;uncertain] Planar Euclidean Maximum TSP
TCS-0399 [index;focused;uncertain] Union of Fat Objects in 3D
TCS-0400 [index;focused;uncertain] 3-Colorability of Arrangements of Great Circles
TCS-0401 [index;focused;uncertain] Compatible Triangulations
TCS-0402 [index;focused;uncertain] Distances among Point Sets in \R^2 and \R^3
TCS-0403 [index;focused;uncertain] Euclidean Minimum Spanning Tree
TCS-0404 [index;focused;uncertain] The Number of Pointed Pseudotriangulations
TCS-0405 [index;focused;uncertain] Vertex-Unfolding Polyhedra
TCS-0406 [index;focused;uncertain] Edge-Unfolding Convex Polyhedra
TCS-0407 [index;focused;uncertain] Extending Pseudosegment Arrangements by Subdivision
TCS-0408 [index;focused;uncertain] Minimum Euclidean Matching in 2D
TCS-0409 [index;focused;uncertain] Minimum-Link Path in 2D
TCS-0410 [index;focused;uncertain] Output-sensitive Convex Hull in \R^d
TCS-0411 [index;focused;uncertain] Point Location in 3D Subdivision
TCS-0412 [index;focused;uncertain] Polygonal Curve Simplification
TCS-0413 [index;focused;uncertain] Simple Linear-Time Polygon Triangulation
TCS-0414 [index;focused;uncertain] Surface Reconstruction
TCS-0415 [index;focused;uncertain] Vertical Decompositions in \R^d
TCS-0416 [index;focused;uncertain] Visibility Graph Recognition
TCS-0417 [index;focused;uncertain] Voronoi Diagram of Lines in 3D
TCS-1064 [index;focused;uncertain] Universality of collinearity logic
TCS-1065 [index;focused;uncertain] Connected convex RCC8 inference in exists-R
TCS-1066 [index;focused;uncertain] Exists-R hardness of affine polynomial projection
TCS-1067 [index;focused;uncertain] Exists-R hardness of affine matrix-rank minimization
TCS-1068 [index;focused;uncertain] Exists-R hardness of symmetric tensor eigenvalues
TCS-1069 [index;focused;uncertain] Complexity of testing Zariski-closure membership
TCS-1070 [index;focused;uncertain] Crossing-free directional-walk realizability hardness
TCS-1071 [index;focused;uncertain] Crossing thresholds for hard pseudosegment stretchability
TCS-1072 [index;focused;uncertain] Semialgebraic art galleries in exists-R
TCS-1073 [index;focused;uncertain] Exists-R hardness of boundary-only guarding
TCS-1074 [index;focused;uncertain] Bounded-degree unit-disk recognition hardness
TCS-1075 [index;focused;uncertain] High-girth segment-intersection recognition hardness
TCS-1076 [index;focused;uncertain] Recognizing hyperbolic convex-set intersection graphs
TCS-1077 [index;focused;uncertain] Rank-three linear-hypergraph realizability hardness
TCS-1078 [index;focused;uncertain] Complexity of unrestricted graph slope number
TCS-1079 [index;focused;uncertain] Fixed-slope upward-planar recognition in NP
TCS-1080 [index;focused;uncertain] Exists-R hardness of three-dimensional plane covers
TCS-1081 [index;focused;uncertain] Exists-R hardness of partial drawing extension
TCS-1082 [index;focused;uncertain] Bounded-degree rectilinear crossing-number hardness
TCS-1083 [index;focused;uncertain] Realizability of cubic graphs with prescribed rotations
TCS-1084 [index;focused;uncertain] Exists-R hardness of one-bend RAC drawings
TCS-1085 [index;focused;uncertain] Exists-R hardness at angular resolution pi/3
TCS-1086 [index;focused;uncertain] Unit-linkage hardness in arbitrary fixed dimension
TCS-1087 [index;focused;uncertain] Hardness of four-dimensional simplicial-polytope realizability
TCS-1088 [index;focused;uncertain] Complexity of three-dimensional Delaunay realizability
TCS-1155 [index;source_question_passage;uncertain] Linear Time Single-Source Shortest Path Algorithms in Euclidean Graph Classes | Is there a linear time SSSP algorithm for the intersection graph of a κ-thick cubical neighborhood system in Rd ?
TCS-1163 [index;source_question_passage;uncertain] Finding Maximum and Minimum Size Matrices: The Algorithmic Complexity of Coding Challenges | Can the rectangle covering number be computed efficiently?
TCS-1186 [index;source_question_passage;uncertain] Polychromatic 2-Colorings with Bounded Discrepancy for Triangulations | The main conjecture in this area remains open: does every triangulation on n vertices admit a polychromatic 2-coloring with discrepancy at most n3 ?
TCS-1198 [index;source_question_passage;uncertain] Concurrent Visibility: Higher-Order Concurrency with First-Order Store | However, computation is purely sequential, and how to capture concurrent visibility as a type system remains open.
TCS-1217 [index;source_question_passage;uncertain] Small Independent Sets Versus Small Separator in Geometric Intersection Graphs | Whether the lower bound also holds for unit disk graphs remains an open question.
TCS-1222 [index;source_question_passage;uncertain] Decomposing a Simple Polygon with Geodesic Unit-Balls | Finally, we note that the existence of an approximation algorithm for Small GD-Cover remains open.
TCS-1240 [index;source_question_passage;uncertain] Exploring VASS Parameterised by Geometric Dimension | Reachability in VASS of SCC dimension gscc = 2 and gscc = 3 is in PSpace and ExpSpace, respectively.
TCS-1242 [index;source_question_passage;uncertain] Geometric Optimization Parameterized by Piercing Complexity | First, does a PTAS exist for the Hitting Set problem with (f, r)-piercing regions?
TCS-1274 [index;source_question_passage;uncertain] The 2D Ray Tracing Problem Using ABCD Lenses and Mirrors Is Turing Complete | It also remains open whether a lens system with rational parameters can be constructed for sufficiently large rational total length (from start to finish).
TCS-1289 [index;source_question_passage;uncertain] Improved Approximation of Two Watchmen’s Routes in Simple Polygons | Finally, the computational complexity of the min-sum two-watchman route problem in simple polygons remains open.
TCS-1290 [index;source_question_passage;uncertain] Online Hitting Set for Axis-Aligned Squares | It remains open whether O(log n)-competitive algorithms are possible for geometric objects of arbitrary sizes in dimensions d ≥ 3.
TCS-1291 [index;source_question_passage;uncertain] On the Fragile Complexity of Geometric Algorithms | As discussed earlier, we do not know how to build the Voronoi diagram in a fragility-sensitive way due to the potential for high-degree vertices.
TCS-1293 [index;source_question_passage;uncertain] Disproving Two Conjectures on the Hamiltonicity of Venn Diagrams | A natural question that remains open is whether Winkler’s conjecture holds for monotone Venn diagrams.
TCS-1294 [index;source_question_passage;uncertain] The Typical Algebraic Shifting of Graphs and Surfaces | For every triangulation K on n vertices of a connected compact surface without boundary, {1, 3, n} ∈ ∆ex (K).
TCS-1297 [index;source_question_passage;uncertain] Interactive Uniform Floodlight Illumination and Rotating Rays Voronoi Diagrams (Media Exposition) | It is unknown whether α˚ can be computed faster directly, without RVDpSq.
TCS-1339 [index;source_question_passage;uncertain] Coordinated Motion Planning Is FPT on Discretized Simple Polygons | For question (ii), we conjecture that the answer remains affirmative as well, and that reducing the graph to one of bounded treewidth remains the correct […]
TCS-1355 [index;source_question_passage;uncertain] The Squishy Grid Problem | The additive error distw (u, v) − ∥u − v∥2 of w : E(Grid) → R≥0 is a function of d = ∥u − v∥2 […]
TCS-1356 [index;source_question_passage;uncertain] Charting the Diameter Computation Landscape of Intersection Graphs in 3D and Above | Diameter-∆ of the intersection graph of low-complexity geometric objects (regardless of the dimension) can be solved in truly-subquadratic time if the VC dimension of ∆-neighborhoods […]
TCS-1357 [index;source_question_passage;uncertain] Computing the Girth of a Segment Intersection Graph | Although we do not know how to improve Corollary 7, we are currently working on ideas that might further improve the time bound of Corollary […]
TCS-1358 [index;source_question_passage;uncertain] Unlabeled Multi-Robot Motion Planning with Improved Separation Trade-Offs | In Section 6 we preset lower bounds on the obstacles-separation, and we leave open the question of what is the upper bound on ω when […]
TCS-1365 [index;source_question_passage;uncertain] Sandwiching Polynomials for Geometric Concepts with Low Intrinsic Dimension | For PQ learning (Definition 42), Goel et al. (2024) showed that L2 -sandwiching suffices for efficiency, but it remains an open question whether a similar […]
TCS-1383 [index;source_question_passage;uncertain] Finding Shortest Reconfiguration Sequences on Independent Set Polytopes | The complexity of SymISR for bipartite graphs and distance-hereditary graphs remains open; we leave this as a future direction.
TCS-1386 [index;source_question_passage;uncertain] The Diameter of (Threshold) Geometric Inhomogeneous Random Graphs | Nevertheless, we conjecture that the diameter is still Θ(log n) in this case, and a proof of this conjecture would be highly interesting.
TCS-1405 [index;source_question_passage;uncertain] On Small Pair Decompositions for Point Sets | Is the minimum WSPD problem NP-Hard in R?
TCS-1409 [index;source_question_passage;uncertain] Abstract Color Voronoi Diagrams and Circular Sequences of Color Permutations | More specifically, how many vertices can there be when k = m/2?
TCS-1414 [index;source_question_passage;uncertain] Sliding Cubes in Parallel | Is there a significant leap between two and three dimensions?
TCS-1421 [index;source_question_passage;uncertain] The Berlin Safe House Puzzle: Spycraft via Interval Graphs | Can similar timeline-based ideas be adapted to other geometric graph classes?
TCS-1423 [index;source_question_passage;uncertain] Persistence Meets Resistance: Doubling down on Hardness | What is the practical relevance of the upper bounds derived in the first part of the paper?
TCS-1428 [index;source_question_passage;uncertain] The Complexity of Bisimilarity and Model Checking in Finitary Diagrams | Is the existential theory of special linear matrices ∃R-hard, too?
TCS-1432 [index;source_question_passage;uncertain] Connected Dominating Sets in Triangulations | What is the maximum value α such that every n-vertex planar graph contains a one-bend collinear set of size αn − O(1)?
TCS-1445 [index;source_question_passage;uncertain] Dudeney’s Dissection Is Optimal | Are there any pairs of regular n-gons and m-gons that can be dissected into three pieces, where n ̸= m?
TCS-1456 [index;source_question_passage;uncertain] Higher Hardness Results for the Reconfiguration of Odd Matchings | Can similar results on the complexity of computing the diameter and radius also be shown in a geometric setting?
TCS-1523 [index;source_question_passage;uncertain] Robust Algorithms for Path and Cycle Problems in Geometric Intersection Graphs | Is it possible to remove the log2 k factor in the exponent of our algorithm for Long Path, and to make the algorithm deterministic?
TCS-1524 [index;source_question_passage;uncertain] Lozenge Tiling by Computing Distances | Is this approach specific to lozenge tilings or does it apply to a broader class of planar tilings whose configurations can be encoded by monotone […]
TCS-1547 [index;source_question_passage;uncertain] Crossing Number of Simple 3-Plane Drawings | Are there 3-planar n-vertex graphs G with cr(G) = 5.5(n − 2)?
TCS-1592 [index;source_question_passage;uncertain] A Unified FPT Framework for Crossing Number Problems | We leave open whether such an extension is possible, and also potential applications.
TCS-1606 [index;source_question_passage;uncertain] Crossing and Non-Crossing Families | Finally, the well-known Problem 1, which asks whether or not T (n) ∈ Θ(n) [14], still remains open.
TCS-1611 [index;source_question_passage;uncertain] Probabilistic and Causal Satisfiability: Constraining the Model | We leave the exact lin⟨Σ⟩ complexity of the first linear level (i.e., SatDAG,L1 ) for future work, but we conjecture that it is ∃RΣ -complete.
TCS-1621 [index;source_question_passage;uncertain] Drainability and Fillability of Polyominoes in Diverse Models of Global Control | The vacancy problem is PSPACE-complete in the single step model.
TCS-1636 [index;source_question_passage;uncertain] Realizing Metric Spaces with Convex Obstacles | Finally, can we generalize the planar studies of distances among weighted regions [9,17,30] to R3 ?
TCS-1654 [index;source_question_passage;uncertain] Guarding Offices with Maximum Dispersion | While research has focused on the problem with vertex guards, the variant involving point guards remains an open question.
TCS-1677 [index;source_question_passage;uncertain] The Maximum Number of Digons Formed by Pairwise Intersecting Pseudocircles | Every pairwise intersecting arrangement of n ⩾ 3 pseudocircles has at least n − 1 triangles.
TCS-1679 [index;source_question_passage;uncertain] Computing Oriented Spanners and Their Dilation | Does every point set admit an oriented t-spanner with t < 2?
TCS-1686 [index;source_question_passage;uncertain] Crossing and Independent Families Among Polygons | On the algorithmic front, we leave open whether MaxIndependentFamilyWithHoles is fixed-parameter tractable w.r.t. the number of holes.
TCS-1712 [index;source_question_passage;uncertain] An Algorithm for Accurate and Simple-Looking Metaphorical Maps | We conjecture that the performance of the algorithm for non-triangulated graphs can be further improved by considering different hole weight functions and by engineering the […]
TCS-1731 [index;source_question_passage;uncertain] Planar Network Diversion | Is it possible to solve Network Diversion in time f (c) · nO(1) for some function f , where c is the crossing number of […]
TCS-1734 [index;source_question_passage;uncertain] Exact Algorithms for Minimum Dilation Triangulation | An equally fascinating problem is the worst-case dilation of triangulations; here we conjecture that the asymptotic dilation for regular n-gons corresponds to the worst-case dilation […]
TCS-1746 [index;source_question_passage;uncertain] Online Hitting Sets for Disks of Bounded Radii | This problem remains open: The current best lower and upper bounds are Ω(log n) and O(log2 n) [2].
TCS-1757 [index;source_question_passage;uncertain] Uniform Deployment of Mobile Robots in Complete Bipartite Graphs | In those problem settings, we conjecture that our algorithm in Section 5.2 can be directly applied, with visibility range less than Θ(log n).
TCS-1762 [index;source_question_passage;uncertain] Lipschitz Decompositions of Finite 𝓁_{p} Metrics | We conjecture that tight instances exist in these spaces, i.e., the spanner bounds obtained in [25, 22] are optimal for every stretch t.
TCS-1793 [index;source_question_passage;uncertain] Separating Two Points with Obstacles in the Plane: Improved Upper and Lower Bounds | Can a (truly) sub-quadratic algorithm be devised for disks, unit disks, or axis-aligned segments?
TCS-1802 [index;source_question_passage;uncertain] Flipping Odd Matchings in Geometric and Combinatorial Settings | What is the complexity of finding shortest flip sequences between odd matchings in convex point sets?
TCS-1805 [index;source_question_passage;uncertain] A Walk on the Wild Side: A Shape-First Methodology for Orthogonal Drawings | Can hybrid methods be developed that combine elements of both approaches?
TCS-1808 [index;source_question_passage;uncertain] Faster Fréchet Distance Under Transformations | Can the update time be reduced?
TCS-1818 [index;source_question_passage;uncertain] Star-Based Separators for Intersection Graphs of c-Colored Pseudo-Segments | If not, can we perhaps do so for c-colored sets of strings, or for arbitrary sets of line segments?
TCS-1822 [index;source_question_passage;uncertain] A Dimension-Reducing Fréchet Simplification Oracle | How far can it be reduced, without substantially increasing the space and preprocessing time, in Theorems 7, 8, 9, and 12?
TCS-1826 [index;source_question_passage;uncertain] Completeness Theorems for k-SUM and Geometric Friends: Deciding Fragments of Linear Integer Arithmetic | Can we establish a d > 3 such that 3-SUM is complete for FOPZ formulas of inequality dimension at most d?
TCS-1850 [index;source_question_passage;uncertain] Strongly Sublinear Separators and Bounded Asymptotic Dimension for Sphere Intersection Graphs | For any integers t, d ≥ 1, every n-vertex graph G ∈ Ctd has a balanced separator of size Ot,d (n1− d+1 ). 1
TCS-1852 [index;source_question_passage;uncertain] Optimal Motion Planning for Two Square Robots in a Rectilinear Environment | Is the Min-Sum problem for two squares in a general polygonal environment in P?
TCS-1853 [index;source_question_passage;uncertain] Geometric Bipartite Matching Based Exact Algorithms for Server Problems | We highlight two open directions: First, can the O(log ∆) dependence be removed?
TCS-1854 [index;source_question_passage;uncertain] Geometric Realizations of Dichotomous Ordinal Graphs | Given d ≥ 3, is there a bipartite d-degenerate graph that is not pandichotomous in Rd−1 ?
TCS-1883 [index;source_question_passage;uncertain] Clustering Point Sets Revisited | On the other hand, our polynomial time approximation for the more challenging cost1,∞ (C, P) in Section 6 is slower, and we leave it as […]
TCS-1909 [index;source_question_passage;uncertain] Approximating Densest Subgraph in Geometric Intersection Graphs | Are there implicit geometric intersection graphs, such as unit-disk graphs or say, interval graphs, for which the exact densest subgraph can be computed in sub-quadratic […]
TCS-1910 [index;source_question_passage;uncertain] On Geodesic Disks Enclosing Many Points | We study different variants of the following question: Given a set S of n points in a polygon P , does there always exist two […]
TCS-1911 [index;source_question_passage;uncertain] Link Diameter, Radius and 2-Point Link Distance Queries in Polygonal Domains | As far as 2-point link distance queries go, in polygonal domains with holes, even visibility queries (Do s and t see each other, i.e., is […]
TCS-1932 [index;source_question_passage;uncertain] Better Diameter Algorithms for Bounded VC-Dimension Graphs and Geometric Intersection Graphs | Is there a subquadratic algorithm for Diameter or k-Diameter for unit-disk intersection graphs?
TCS-1987 [index;source_question_passage;uncertain] Lower Envelopes of Surface Patches in 3-Space | We conjecture that the bound should resemble the bound O(nλs+2 (n)) shown in [37] under the favorable cross section assumption.
TCS-2000 [index;source_question_passage;uncertain] Bundling-Aware Graph Drawing | Finally, it is an open question to evaluate whether the optimized parameters are good proxies for graph readability.
TCS-2002 [index;source_question_passage;uncertain] Intersection Graphs with and Without Product Structure | The class of k-independent crossing graphs admits product structure.
TCS-2004 [index;source_question_passage;uncertain] Flips in Colorful Triangulations | We conjecture that the graph HN has a Hamilton cycle for all N ≥ 9 that are divisible by 3.
TCS-2011 [index;source_question_passage;uncertain] Random Separating Hyperplane Theorem and Learning Polytopes | Can we improve the exponential dependence of the success probability on 1/δ?
TCS-2016 [index;source_question_passage;uncertain] Approximation Schemes for Geometric Knapsack for Packing Spheres and Fat Objects | However, it remains an open problem whether rational coordinates always suffice in an optimal packing.
TCS-2024 [index;source_question_passage;uncertain] Reconfiguration of Labeled Matchings in Triangular Grid Graphs | It remains open to characterize a reconfigurable triangular grid graph, when it is a factor-critical graph with no vertex of degree 6, but not locally-connected.
TCS-2050 [index;source_question_passage;uncertain] Delaunay Triangulations in the Hilbert Metric | In light of Lemma 11, we do not know whether the △pab has a circumcircle, so we run the test from △abc.
TCS-2113 [index;source_question_passage;uncertain] Safe Linear Bandits over Unknown Polytopes | Of course, a number of interesting questions remain open, e.g., are there computationally efficient ways to implement doubly-optimistic strategies for large U ; or if […]
TCS-2143 [index;source_question_passage;uncertain] Local Spanners Revisited | We leave the question of whether this bound can be further improved as an open problem for further research.
TCS-2182 [index;source_question_passage;uncertain] PackIt!: Gamified Rectangle Packing | What is the complexity of PackIt! as a 2-player game?
TCS-2187 [index;source_question_passage;uncertain] Bounding the Treewidth of Outer k-Planar Graphs via Triangulations | What is the correct multiplicative constant?
TCS-2194 [index;source_question_passage;uncertain] Harborth’s Conjecture for 4-Regular Planar Graphs | Are there any methods for finding a point at rational distance to families of five-point sets?
TCS-2196 [index;source_question_passage;uncertain] Enumeration of Intersection Graphs of x-Monotone Curves | How many ways can one draw a graph?
TCS-2197 [index;source_question_passage;uncertain] Strict Upward Planar Grid Drawings of Binary Trees with Minimal Area (Poster Abstract) | What is the complexity of finding non-strict upward planar embeddings of trees on a given grid?
TCS-2199 [index;source_question_passage;uncertain] Partitioning Complete Geometric Graphs on Dense Point Sets into Plane Subgraphs | Can the dependency of c(α) on α in (2) be improved?
TCS-2207 [index;source_question_passage;uncertain] Computing Data Distribution from Query Selectivities | What properties should the data and query distribution satisfy so that the running time is polynomial in d as well?
TCS-2215 [index;source_question_passage;uncertain] The Existential Theory of the Reals with Summation Operators | Can we prove a real version of Toda’s theorem [30]?
TCS-2226 [index;source_question_passage;uncertain] Geometric Covering via Extraction Theorem | If we have t arbitrary radii as in DC, does the problem become APX-hard?
TCS-2233 [index;source_question_passage;uncertain] Local Certification of Geometric Graph Classes | Are there hereditary (or even monotone) classes of local complexity Ω(nc ) for c > 1?
TCS-2251 [index;source_question_passage;uncertain] No-Dimensional Tverberg Partitions Revisited | Can a sparser convex-combination of points be computed efficiently?
TCS-2268 [index;source_question_passage;uncertain] Optimizing Symbol Visibility Through Displacement | For general yi , we do not know the answer, but if the yi are uniformly spaced, we can indeed prove that this procedure yields […]
TCS-2285 [index;source_question_passage;uncertain] From Planar via Outerplanar to Outerpath – Engineering NP-Hardness Constructions (Poster Abstract) | Are there more examples of graph drawing problems where NP-hardness for (outer)planar graphs is known, while the “simpler” trees and cactus graphs are polynomial-time solvable, […]
TCS-2295 [index;source_question_passage;uncertain] Optimal In-Place Compaction of Sliding Cubes | For example, is there a compaction algorithm in which each cube in the configuration that starts at position (x, y, z) performs at most O(x […]
TCS-2317 [index;source_question_passage;uncertain] A Clique-Based Separator for Intersection Graphs of Geodesic Disks in ℝ² | An obvious open problem is to improve upon our bounds: do intersection graphs of geodesic disks admit a separator of size o(n3/4 ), either in […]
TCS-2355 [index;source_question_passage;uncertain] Finding Large Counterexamples by Selectively Exploring the Pachner Graph | Is there a lens space other than the 3-sphere that admits infinitely many triangulations with no core edges?
TCS-2363 [index;source_question_passage;uncertain] On the Geometric Thickness of 2-Degenerate Graphs | Given an arrangement of 3k disjoint red straight-line segments and 3k disjoint blue straight-line segments, where each red segment crosses each blue segment, are there […]
TCS-2387 [index;source_question_passage;uncertain] Oriented Spanners | Thus, the quest for a triangulation of small oriented dilation for non-convex point sets remains open.
TCS-2390 [index;source_question_passage;uncertain] Reconfiguration of Polygonal Subdivisions via Recombination | It remains an open problem whether the number of moves can be reduced to be polynomial in both k and n.
TCS-2420 [index;source_question_passage;uncertain] Rectilinear-Upward Planarity Testing of Digraphs | Establishing the complexity of the problem when a planar embedding (neither rectilinear nor upward) is fixed remains an open question.
TCS-2448 [index;source_question_passage;uncertain] Linear Size Universal Point Sets for Classes of Planar Graphs | Every triangle-free planar graph is POSH.
TCS-2465 [index;source_question_passage;uncertain] Facility Location in the Sublinear Geometric Model | We leave it as an open problem whether such a polynomial lower bound on the number of RangeCount queries exists for any randomized sublinear algorithm […]
TCS-2472 [index;source_question_passage;uncertain] On the Giant Component of Geometric Inhomogeneous Random Graphs | For such cells, we know that we get a large connected component but we do not know whether it connects to the giant of the […]
TCS-2491 [index;source_question_passage;uncertain] On Flipping the Fréchet Distance | The question of whether or not there exists an algorithm in 2D with running time fully polynomial in k remains open (for the Fréchet distance […]
TCS-2527 [index;source_question_passage;uncertain] Geometric Barriers for Stable and Online Algorithms for Discrepancy Minimization | One direction is to employ local limit arguments; we leave this as an open problem for future investigation.
TCS-2552 [index;source_question_passage;uncertain] Interval Selection in Data Streams: Weighted Intervals and the Insertion-Deletion Setting | Can we obtain optimal algorithm for other geometric objects, such as axis-aligned unit squares or unit circles?
TCS-2556 [index;source_question_passage;uncertain] Ortho-Radial Drawing in Near-Linear Time | Given an ortho-radial representation, can we find an ortho-radial drawing with the smallest number of layers (i.e., the number of concentric circles) in polynomial time?
TCS-2608 [index;source_question_passage;uncertain] Cliques in High-Dimensional Geometric Inhomogeneous Random Graphs | As our work indicates that this phase transition vanishes as d = ω(log(n))), we conjecture that in this regime cliques of all sizes are √ […]
TCS-2651 [index;source_question_passage;uncertain] Brief Announcement: Cooperative Guarding in Polygons with Holes | Is it possible to construct O(poly(D)) time algorithms where D is the hop diameter of the polygon, when agents have limited persistent memory?
TCS-2669 [index;source_question_passage;uncertain] Edge Partitions of Complete Geometric Graphs | Can any complete geometric graph on n vertices be partitioned into nc plane subgraphs for some constant c > 1?
TCS-2701 [index;source_question_passage;uncertain] A Simple Polynomial Time Algorithm for Max Cut on Laminar Geometric Intersection Graphs | However, for the other special case of max cut on unit interval graphs, the complexity status is still an open problem.
